num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
135,5,9411,9426,9418.200000,1376,1397,1390.200000
136,5,9469,9493,9486.000000,1409,1450,1434.600000
137,5,9540,9562,9554.200000,1415,1444,1431.600000
138,5,9619,9639,9626.600000,1441,1453,1446.600000
139,5,9675,9711,9699.000000,1439,1459,1448.200000
140,5,9760,9770,9765.000000,1409,1454,1436.000000
141,5,9830,9852,9838.200000,1449,1461,1454.600000
142,5,9890,9925,9904.600000,1437,1453,1444.600000
143,5,9966,9991,9979.600000,1456,1488,1476.400000
144,5,10030,10062,10045.200000,1480,1569,1530.800000
145,5,10115,10127,10120.000000,1543,1553,1548.000000
146,5,10172,10194,10185.200000,1547,1552,1549.600000
147,5,10250,10266,10256.800000,1550,1567,1554.800000
148,5,10310,10338,10322.400000,1481,1552,1536.000000
149,5,10388,10414,10399.200000,1547,1558,1553.400000
150,5,10461,10481,10472.400000,1539,1559,1548.600000
151,5,10532,10549,10540.600000,1547,1558,1553.800000
152,5,10603,10621,10610.800000,1570,1617,1604.400000
153,5,10657,10691,10676.000000,1554,1615,1587.600000
154,5,10737,10753,10748.000000,1560,1620,1598.600000
155,5,10816,10848,10828.800000,1571,1615,1596.400000
156,5,10881,10896,10888.000000,1600,1622,1612.800000
157,5,10947,10972,10954.600000,1559,1619,1585.200000
158,5,11017,11036,11026.200000,1565,1622,1607.800000
159,5,11085,11103,11093.600000,1567,1628,1603.000000
160,5,11144,11177,11165.800000,1619,1633,1625.600000
161,5,11225,11249,11235.000000,1623,1636,1629.200000
162,5,11290,11305,11300.400000,1599,1641,1618.400000
163,5,11364,11389,11382.600000,1622,1639,1628.000000
164,5,11434,11462,11443.600000,1630,1663,1642.200000
165,5,11500,11522,11509.200000,1621,1640,1628.200000
166,5,11562,11590,11575.000000,1626,1638,1631.600000
167,5,11639,11665,11654.400000,1606,1644,1629.600000
168,5,11709,11736,11722.400000,1660,1713,1697.200000
169,5,11791,11801,11794.600000,1660,1708,1678.200000
170,5,11846,11869,11859.200000,1655,1714,1678.800000
171,5,11918,11941,11926.400000,1660,1718,1691.600000
172,5,11989,12009,12000.400000,1668,1703,1689.400000
173,5,12064,12082,12069.800000,1659,1703,1684.200000
174,5,12132,12148,12139.400000,1666,1710,1688.200000
175,5,12195,12227,12208.200000,1709,1724,1717.200000
176,5,12271,12298,12279.600000,1729,1779,1752.000000
177,5,12350,12389,12361.800000,1725,1780,1757.200000
178,5,12406,12434,12418.000000,1736,1784,1763.400000
179,5,12486,12498,12492.200000,1766,1772,1768.200000
180,5,12548,12570,12556.200000,1761,1792,1772.400000
181,5,12623,12642,12632.800000,1737,1772,1763.200000
182,5,12695,12714,12701.000000,1771,1786,1778.600000
183,5,12760,12773,12766.400000,1781,1810,1797.800000
184,5,12830,12849,12837.200000,1851,1871,1863.000000
185,5,12886,12923,12907.400000,1848,1869,1863.600000
186,5,12976,12995,12982.200000,1864,1880,1871.200000
187,5,13042,13060,13050.800000,1825,1879,1863.000000
188,5,13108,13117,13112.800000,1812,1875,1848.800000
189,5,13179,13195,13188.400000,1865,1895,1874.800000
190,5,13236,13268,13249.600000,1845,1880,1868.000000
191,5,13313,13333,13325.200000,1824,1878,1860.400000
192,5,13373,13419,13393.400000,1879,1952,1914.200000
193,5,13454,13480,13462.800000,1879,1948,1914.000000
194,5,13512,13555,13533.400000,1918,1939,1929.400000
195,5,13569,13625,13605.000000,1906,1935,1917.800000
196,5,13655,13692,13674.800000,1891,1932,1914.800000
197,5,13733,13763,13744.800000,1921,1964,1937.600000
198,5,13790,13826,13810.200000,1883,1941,1919.200000
199,5,13863,13899,13882.800000,1922,1951,1934.200000
200,5,13937,13955,13948.000000,1938,1952,1944.200000
