num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
99,5,101118,117565,105127.800000,67880,80043,71665.600000
100,5,104333,114896,111788.000000,70783,79436,76540.800000
101,5,103930,115728,110618.200000,69456,82859,76828.800000
102,5,104294,107531,105723.200000,69890,73149,71554.000000
103,5,104934,115443,110458.400000,69300,80557,75842.000000
104,5,112345,119457,116371.000000,76841,80730,79506.000000
105,5,106527,116320,108807.000000,71730,77866,73840.600000
106,5,107959,119869,111101.200000,75055,81001,77239.400000
107,5,118072,123038,120431.400000,79020,86827,81678.200000
108,5,110497,124634,117748.400000,75767,86217,79046.200000
109,5,111032,114764,112277.400000,75477,79465,77155.200000
110,5,112439,127068,122734.000000,81076,88596,85863.200000
