num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
99,5,105365,111804,109515.600000,75857,85827,80629.600000
100,5,100583,114095,106349.000000,72343,80409,75616.800000
101,5,101553,101986,101745.400000,74257,75375,74894.400000
102,5,101145,102734,101652.800000,73052,78608,76446.000000
103,5,103517,105895,104481.600000,74390,78075,76602.000000
104,5,105291,107404,105922.400000,77470,79624,78752.600000
105,5,104722,117371,109209.400000,75658,91972,82217.000000
106,5,113616,119148,116696.000000,80848,88438,85205.800000
107,5,114846,121268,118509.200000,86326,90734,88353.200000
108,5,112338,118576,116811.400000,80105,87656,84451.000000
109,5,119030,122436,121119.200000,83538,94658,89387.800000
110,5,118530,123770,121431.400000,81596,93024,90046.800000
111,5,111897,120179,114262.600000,80879,93688,85085.400000
112,5,111855,112949,112159.600000,80901,86843,84555.400000
113,5,111616,112678,112251.200000,80367,82404,81178.800000
114,5,114455,116533,115743.800000,82177,83740,83139.800000
115,5,114986,115701,115388.600000,83201,84158,83805.000000
116,5,126101,131025,128444.000000,92665,99006,94570.600000
117,5,130206,132034,131041.400000,88751,97884,93342.600000
118,5,125463,134991,129170.400000,87626,96083,92529.600000
119,5,124205,134316,129589.200000,93878,97964,95513.400000
120,5,130576,136005,132822.400000,96206,100357,97727.200000
121,5,120122,128265,122364.200000,83212,89103,85940.400000
122,5,121092,121823,121347.200000,82303,85206,83427.200000
123,5,121773,124887,122916.000000,83835,88692,86841.000000
124,5,123622,127018,125217.600000,86358,88034,86918.600000
125,5,124568,140268,129800.000000,83521,104646,92333.600000
126,5,136837,139829,138149.400000,93453,98826,96462.800000
127,5,136161,141575,139751.600000,95036,102722,100238.200000
128,5,135529,142789,138829.400000,89646,102344,95582.200000
129,5,140059,142005,140850.800000,93330,98996,97489.800000
130,5,130370,145971,137249.200000,89180,102479,93311.800000
131,5,130111,131833,130573.800000,85162,90091,87678.000000
132,5,130878,132191,131667.000000,84460,90808,87066.800000
133,5,133275,136575,135272.200000,84703,93841,89336.800000
134,5,133432,153701,138057.400000,84784,101632,92182.800000
135,5,147918,150380,149103.600000,92775,104215,100919.000000
136,5,147549,151570,150160.200000,97944,106580,101356.000000
137,5,146150,151574,147925.600000,92804,104327,99487.800000
138,5,151323,152934,152019.400000,96695,107448,100534.200000
139,5,138994,151288,144100.200000,91008,103130,95627.600000
140,5,139567,140577,140271.800000,88988,91664,90001.400000
141,5,140062,144223,141343.600000,87489,92946,90781.600000
