num_files,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
1,5,108863,114819,111670.200000,71763,73900,73136.200000
2,5,203127,211311,206106.800000,95597,100008,98151.200000
3,5,308298,343050,330250.200000,130376,139517,135860.600000
4,5,406112,451941,426927.600000,160058,179996,169240.400000
5,5,507945,560537,536083.200000,196402,214928,204323.600000
6,5,610871,669277,632600.400000,213401,237760,222911.600000
7,5,723386,791773,769261.800000,255711,289144,279463.400000
8,5,813859,907525,867628.400000,292926,320369,309014.400000
9,5,919519,1022019,965575.800000,312469,360425,336735.600000
10,5,1020815,1113589,1079354.200000,354765,393998,373632.600000
11,5,1126500,1245155,1181420.200000,385733,424917,407846.400000
12,5,1231177,1357951,1295459.600000,424804,470007,446381.200000
13,5,1330490,1472686,1417839.200000,459339,513896,480897.200000
14,5,1442241,1566747,1517905.000000,489085,554058,524994.000000
15,5,1534290,1672230,1624469.000000,517972,586761,551979.400000
16,5,1638450,1786430,1706523.200000,561431,617643,588605.000000
17,5,1755343,1921452,1845733.000000,581702,652882,630237.000000
18,5,1846817,2032209,1949084.400000,635318,701415,661002.400000
19,5,1962290,2146149,2062015.400000,658878,749208,708166.800000
20,5,2056887,2247322,2156259.400000,685723,773625,722723.400000
21,5,2160393,2348143,2269858.800000,719109,810107,782594.600000
22,5,2272875,2460037,2349588.400000,764957,854874,813446.400000
23,5,2374488,2588681,2492489.400000,794352,876183,823915.200000
24,5,2490516,2734360,2617829.000000,832547,917958,879514.800000
25,5,2585630,2841865,2731217.600000,854793,961082,899688.800000
26,5,2685233,2930951,2825229.800000,910167,1006597,954403.000000
27,5,2796097,3061461,2932287.200000,944417,1026899,989710.400000
28,5,2913699,3176932,3035910.400000,977784,1075627,1031969.800000
29,5,3014065,3276705,3165411.600000,1003703,1122104,1073082.600000
30,5,3126126,3413483,3295827.400000,1050920,1152506,1105707.600000
31,5,3317931,3501136,3406502.800000,1077465,1194477,1121763.000000
32,5,3332549,3635809,3457793.200000,1135089,1249089,1194138.400000
33,5,3446951,3753939,3630773.200000,1187989,1257931,1227927.200000
34,5,3553775,3888759,3688882.000000,1220617,1309621,1261832.400000
35,5,3798791,4004071,3918596.600000,1335538,1437545,1388444.000000
36,5,3804747,4042464,3930382.400000,1460534,1514544,1489778.600000
37,5,3923851,4214674,4052897.400000,1458061,1548844,1517598.000000
38,5,4103935,4324756,4191930.600000,1433687,1573449,1524852.800000
39,5,4122925,4435996,4300489.600000,1552470,1630917,1603474.200000
40,5,4218160,4605859,4421009.000000,1603269,1632439,1613428.800000
41,5,4331959,4713425,4535990.400000,1630718,1691841,1661850.800000
42,5,4539405,4772097,4650646.000000,1673148,1741962,1711139.600000
43,5,4628545,4961133,4753027.000000,1604550,1807289,1740058.000000
44,5,4657835,5003231,4869263.000000,1767397,1828868,1800897.000000
45,5,4812649,5140724,5021435.200000,1775475,1903092,1840314.000000
46,5,4930301,5243867,5092051.400000,1836953,1980235,1898240.000000
47,5,5007912,5303268,5190050.600000,1866540,2040308,1958402.000000
48,5,5276134,5542441,5380425.800000,1807969,1968114,1915598.600000
49,5,5288259,5521673,5419727.400000,1967097,2078677,2019372.400000
50,5,5373627,5781460,5566307.200000,1904996,2194262,2040703.800000
